"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.3757175726686559"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.7935547689883062"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.9542017412799169"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.2994167130077705"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.9730323016747415"
"2002","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.58"
"2003","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.4725"
"2004","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.425"
"2005","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.1525"
"2006","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.7425"
"2007","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.4675"
"2008","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.795"
"2009","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.615"
"2010","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.8825"
"2011","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.71"
"2012","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.17"
"2013","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.4125"
"2014","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.765"
"2015","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.565"
"2016","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.7425"
"2017","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.895"
"2018","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.9175"
"2019","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.0675"
"2020","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.4675"
"2021","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.05"
"2022","Proportion of youth not in education, employment or training","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","12.7025"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.339616239730532"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.776487571048049"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.831376950926629"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.779896146652465"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.926445522724288"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.827493943041883"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.661331564391563"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.432581018903964"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.966711661573775"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.718884747820523"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.289901237214488"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.863071745653277"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.827799798373892"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.780901264712137"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.129195660774108"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.824361757000529"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.884842387087328"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.636498306700483"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.146913122892279"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.782350375964892"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.39970351800242"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.762412866366022"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.780339251490535"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.358046001253106"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.973266037796135"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.189083998692604"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.621060064896991"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","16.222053902769925"
