Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,16.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,18.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,19.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,20
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,21.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,24.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,24.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,25.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,27.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,15.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,18.399999999999999
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,19.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,20.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,20.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,21.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,25.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,25.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,27.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,27.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,25-34,Percentage,Units,Normal value,27
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,17.899999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,17.399999999999999
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,16.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,18.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,18.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,19.899999999999999
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,21.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,19.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,20.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,22.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,35-44,Percentage,Units,Normal value,22.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,16.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,14.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,16.100000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,18.600000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,17.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,17
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,18.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,19.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,18.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,21.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,45-54,Percentage,Units,Normal value,21.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,14.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,14.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,15.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,14.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,14.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,15.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,17.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,17
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,17
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,16.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,55-64,Percentage,Units,Normal value,18.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,6.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,7.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,8.1999999999999993
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,9.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,8.6999999999999993
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,9.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,9.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,10.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,10
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,65+,Percentage,Units,Normal value,9.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,All 18+,Percentage,Units,Normal value,13.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,All 18+,Percentage,Units,Normal value,13.7
