"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","","Scotland","","","","","Percentage","Units","Normal value","21.5"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","","Scotland","","","","","Percentage","Units","Normal value","21.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","","Scotland","","","","","Percentage","Units","Normal value","23.4"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","10.9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","11.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","17"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","13"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","16.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","19.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","18.3"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","17.6"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","18.9"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","Northern Ireland","","","","","Percentage","Units","Normal value","18.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","18.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","19.8"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","16.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","22.3"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","24.3"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","25.8"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","26"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","23.3"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","23.6"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","Northern Ireland","","","","","Percentage","Units","Normal value","20.7"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","14.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","12.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","13.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","16.6"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","16.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","20.5"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","19.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","20"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","19.8"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","Northern Ireland","","","","","Percentage","Units","Normal value","20.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","Northern Ireland","","","","","Percentage","Units","Normal value","14.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","Northern Ireland","","","","","Percentage","Units","Normal value","17.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","Northern Ireland","","","","","Percentage","Units","Normal value","17.3"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","Northern Ireland","","","","","Percentage","Units","Normal value","19.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","Northern Ireland","","","","","Percentage","Units","Normal value","18.2"
