"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2021","Male","18-24","England","","","","","Percentage","Units","Normal value","15.5"
"2020","Male","18-24","England","","","","","Percentage","Units","Normal value","16.8"
"2019","Male","18-24","England","","","","","Percentage","Units","Normal value","18"
"2018","Male","18-24","England","","","","","Percentage","Units","Normal value","19.2"
"2017","Male","18-24","England","","","","","Percentage","Units","Normal value","20.9"
"2016","Male","18-24","England","","","","","Percentage","Units","Normal value","21.7"
"2015","Male","18-24","England","","","","","Percentage","Units","Normal value","22.3"
"2014","Male","18-24","England","","","","","Percentage","Units","Normal value","26"
"2013","Male","18-24","England","","","","","Percentage","Units","Normal value","25.9"
"2012","Male","18-24","England","","","","","Percentage","Units","Normal value","27.4"
"2011","Male","18-24","England","","","","","Percentage","Units","Normal value","27.9"
"2021","Male","25-34","England","","","","","Percentage","Units","Normal value","18"
"2020","Male","25-34","England","","","","","Percentage","Units","Normal value","20.6"
"2019","Male","25-34","England","","","","","Percentage","Units","Normal value","21.5"
"2018","Male","25-34","England","","","","","Percentage","Units","Normal value","21.6"
"2017","Male","25-34","England","","","","","Percentage","Units","Normal value","22.2"
"2016","Male","25-34","England","","","","","Percentage","Units","Normal value","23.1"
"2015","Male","25-34","England","","","","","Percentage","Units","Normal value","26.5"
"2014","Male","25-34","England","","","","","Percentage","Units","Normal value","27.9"
"2013","Male","25-34","England","","","","","Percentage","Units","Normal value","28"
"2012","Male","25-34","England","","","","","Percentage","Units","Normal value","28.8"
"2011","Male","25-34","England","","","","","Percentage","Units","Normal value","29.6"
"2021","Male","35-44","England","","","","","Percentage","Units","Normal value","18.3"
"2020","Male","35-44","England","","","","","Percentage","Units","Normal value","19"
"2019","Male","35-44","England","","","","","Percentage","Units","Normal value","18.2"
"2018","Male","35-44","England","","","","","Percentage","Units","Normal value","19"
"2017","Male","35-44","England","","","","","Percentage","Units","Normal value","19.6"
"2016","Male","35-44","England","","","","","Percentage","Units","Normal value","20.7"
"2015","Male","35-44","England","","","","","Percentage","Units","Normal value","22"
"2014","Male","35-44","England","","","","","Percentage","Units","Normal value","23.1"
"2013","Male","35-44","England","","","","","Percentage","Units","Normal value","23.8"
"2012","Male","35-44","England","","","","","Percentage","Units","Normal value","25.8"
"2011","Male","35-44","England","","","","","Percentage","Units","Normal value","25.7"
"2021","Male","45-54","England","","","","","Percentage","Units","Normal value","17.3"
"2020","Male","45-54","England","","","","","Percentage","Units","Normal value","17.5"
"2019","Male","45-54","England","","","","","Percentage","Units","Normal value","17.3"
"2018","Male","45-54","England","","","","","Percentage","Units","Normal value","18.2"
"2017","Male","45-54","England","","","","","Percentage","Units","Normal value","18"
"2016","Male","45-54","England","","","","","Percentage","Units","Normal value","18.4"
"2015","Male","45-54","England","","","","","Percentage","Units","Normal value","20.5"
"2014","Male","45-54","England","","","","","Percentage","Units","Normal value","21"
"2013","Male","45-54","England","","","","","Percentage","Units","Normal value","21.5"
"2012","Male","45-54","England","","","","","Percentage","Units","Normal value","22.4"
"2011","Male","45-54","England","","","","","Percentage","Units","Normal value","22.4"
"2021","Male","55-64","England","","","","","Percentage","Units","Normal value","14.3"
"2020","Male","55-64","England","","","","","Percentage","Units","Normal value","14.5"
"2019","Male","55-64","England","","","","","Percentage","Units","Normal value","14.1"
"2018","Male","55-64","England","","","","","Percentage","Units","Normal value","15.1"
"2017","Male","55-64","England","","","","","Percentage","Units","Normal value","15.5"
"2016","Male","55-64","England","","","","","Percentage","Units","Normal value","15.4"
"2015","Male","55-64","England","","","","","Percentage","Units","Normal value","17.1"
"2014","Male","55-64","England","","","","","Percentage","Units","Normal value","17.5"
"2013","Male","55-64","England","","","","","Percentage","Units","Normal value","17.9"
"2012","Male","55-64","England","","","","","Percentage","Units","Normal value","18.7"
"2011","Male","55-64","England","","","","","Percentage","Units","Normal value","19.2"
"2021","Male","65+","England","","","","","Percentage","Units","Normal value","8.4"
"2020","Male","65+","England","","","","","Percentage","Units","Normal value","8.6"
"2019","Male","65+","England","","","","","Percentage","Units","Normal value","8.4"
"2018","Male","65+","England","","","","","Percentage","Units","Normal value","8.4"
"2017","Male","65+","England","","","","","Percentage","Units","Normal value","8.2"
"2016","Male","65+","England","","","","","Percentage","Units","Normal value","8.5"
"2015","Male","65+","England","","","","","Percentage","Units","Normal value","8.9"
"2014","Male","65+","England","","","","","Percentage","Units","Normal value","9.5"
"2013","Male","65+","England","","","","","Percentage","Units","Normal value","10.1"
"2012","Male","65+","England","","","","","Percentage","Units","Normal value","10.5"
"2011","Male","65+","England","","","","","Percentage","Units","Normal value","10.9"
"2021","Male","All 18+","England","","","","","Percentage","Units","Normal value","14.9"
"2020","Male","All 18+","England","","","","","Percentage","Units","Normal value","15.7"
"2019","Male","All 18+","England","","","","","Percentage","Units","Normal value","15.8"
"2018","Male","All 18+","England","","","","","Percentage","Units","Normal value","16.4"
"2017","Male","All 18+","England","","","","","Percentage","Units","Normal value","16.8"
"2016","Male","All 18+","England","","","","","Percentage","Units","Normal value","17.4"
"2015","Male","All 18+","England","","","","","Percentage","Units","Normal value","19.1"
"2014","Male","All 18+","England","","","","","Percentage","Units","Normal value","20.2"
"2013","Male","All 18+","England","","","","","Percentage","Units","Normal value","20.7"
"2012","Male","All 18+","England","","","","","Percentage","Units","Normal value","21.8"
"2011","Male","All 18+","England","","","","","Percentage","Units","Normal value","22.2"
"2021","Male","18-24","Wales","","","","","Percentage","Units","Normal value","14.4"
"2020","Male","18-24","Wales","","","","","Percentage","Units","Normal value","17.3"
"2019","Male","18-24","Wales","","","","","Percentage","Units","Normal value","19.1"
"2018","Male","18-24","Wales","","","","","Percentage","Units","Normal value","20.3"
"2017","Male","18-24","Wales","","","","","Percentage","Units","Normal value","23.3"
"2016","Male","18-24","Wales","","","","","Percentage","Units","Normal value","21.6"
"2015","Male","18-24","Wales","","","","","Percentage","Units","Normal value","22.4"
"2014","Male","18-24","Wales","","","","","Percentage","Units","Normal value","26.1"
"2013","Male","18-24","Wales","","","","","Percentage","Units","Normal value","25.4"
"2012","Male","18-24","Wales","","","","","Percentage","Units","Normal value","25.7"
"2011","Male","18-24","Wales","","","","","Percentage","Units","Normal value","25.8"
"2021","Male","25-34","Wales","","","","","Percentage","Units","Normal value","17.3"
"2020","Male","25-34","Wales","","","","","Percentage","Units","Normal value","23.4"
"2019","Male","25-34","Wales","","","","","Percentage","Units","Normal value","23.8"
"2018","Male","25-34","Wales","","","","","Percentage","Units","Normal value","25.2"
"2017","Male","25-34","Wales","","","","","Percentage","Units","Normal value","22.2"
"2016","Male","25-34","Wales","","","","","Percentage","Units","Normal value","24.9"
"2015","Male","25-34","Wales","","","","","Percentage","Units","Normal value","26.4"
"2014","Male","25-34","Wales","","","","","Percentage","Units","Normal value","29"
"2013","Male","25-34","Wales","","","","","Percentage","Units","Normal value","30.3"
"2012","Male","25-34","Wales","","","","","Percentage","Units","Normal value","30.3"
"2011","Male","25-34","Wales","","","","","Percentage","Units","Normal value","32.4"
"2021","Male","35-44","Wales","","","","","Percentage","Units","Normal value","18.6"
"2020","Male","35-44","Wales","","","","","Percentage","Units","Normal value","21.1"
"2019","Male","35-44","Wales","","","","","Percentage","Units","Normal value","19.6"
"2018","Male","35-44","Wales","","","","","Percentage","Units","Normal value","19.2"
"2017","Male","35-44","Wales","","","","","Percentage","Units","Normal value","21.8"
"2016","Male","35-44","Wales","","","","","Percentage","Units","Normal value","21.6"
"2015","Male","35-44","Wales","","","","","Percentage","Units","Normal value","25.3"
"2014","Male","35-44","Wales","","","","","Percentage","Units","Normal value","25.7"
"2013","Male","35-44","Wales","","","","","Percentage","Units","Normal value","28.1"
"2012","Male","35-44","Wales","","","","","Percentage","Units","Normal value","26.9"
"2011","Male","35-44","Wales","","","","","Percentage","Units","Normal value","29.5"
"2021","Male","45-54","Wales","","","","","Percentage","Units","Normal value","19.3"
"2020","Male","45-54","Wales","","","","","Percentage","Units","Normal value","20.1"
"2019","Male","45-54","Wales","","","","","Percentage","Units","Normal value","18.8"
"2018","Male","45-54","Wales","","","","","Percentage","Units","Normal value","19.5"
"2017","Male","45-54","Wales","","","","","Percentage","Units","Normal value","17.6"
"2016","Male","45-54","Wales","","","","","Percentage","Units","Normal value","19.3"
"2015","Male","45-54","Wales","","","","","Percentage","Units","Normal value","20.6"
"2014","Male","45-54","Wales","","","","","Percentage","Units","Normal value","23"
"2013","Male","45-54","Wales","","","","","Percentage","Units","Normal value","22.1"
"2012","Male","45-54","Wales","","","","","Percentage","Units","Normal value","24.3"
"2011","Male","45-54","Wales","","","","","Percentage","Units","Normal value","25.9"
"2021","Male","55-64","Wales","","","","","Percentage","Units","Normal value","16.1"
"2020","Male","55-64","Wales","","","","","Percentage","Units","Normal value","14.6"
"2019","Male","55-64","Wales","","","","","Percentage","Units","Normal value","14"
"2018","Male","55-64","Wales","","","","","Percentage","Units","Normal value","15.6"
"2017","Male","55-64","Wales","","","","","Percentage","Units","Normal value","17"
"2016","Male","55-64","Wales","","","","","Percentage","Units","Normal value","17.6"
"2015","Male","55-64","Wales","","","","","Percentage","Units","Normal value","18.1"
"2014","Male","55-64","Wales","","","","","Percentage","Units","Normal value","18.2"
"2013","Male","55-64","Wales","","","","","Percentage","Units","Normal value","18.5"
"2012","Male","55-64","Wales","","","","","Percentage","Units","Normal value","19.3"
"2011","Male","55-64","Wales","","","","","Percentage","Units","Normal value","19.8"
"2021","Male","65+","Wales","","","","","Percentage","Units","Normal value","6.7"
"2020","Male","65+","Wales","","","","","Percentage","Units","Normal value","8.3"
"2019","Male","65+","Wales","","","","","Percentage","Units","Normal value","8"
"2018","Male","65+","Wales","","","","","Percentage","Units","Normal value","7.9"
"2017","Male","65+","Wales","","","","","Percentage","Units","Normal value","8.3"
"2016","Male","65+","Wales","","","","","Percentage","Units","Normal value","8.8"
"2015","Male","65+","Wales","","","","","Percentage","Units","Normal value","9.3"
